element_type,osmid,name,geometry,college,food_court,hospital,parking,restaurant,university,latitude,longitude
node,1970040917,,POINT (-0.4616602 51.3827982),0,0,0,0,1,0,,
node,1971677516,Chapel Orchard Day Surgery,POINT (-0.1715368 51.4020487),0,0,1,0,0,0,,
node,1972425270,Thai Silk,POINT (-0.111809 51.487356),0,0,0,0,1,0,,
node,1973224824,Bite,POINT (0.0634557 51.5073834),0,0,0,0,1,0,,
node,1973254547,The Edge,POINT (0.064093 51.5075931),0,0,0,0,1,0,,
node,1973260537,Tomahawk Steakhouse Hoxton,POINT (-0.0903919 51.5285262),0,0,0,0,1,0,,
node,1975218586,Wildwood,POINT (0.0223326 51.5954197),0,0,0,0,1,0,,
node,1975218593,Vacant,POINT (0.0238697 51.5945915),0,0,0,0,1,0,,
node,1980151259,British Library restaurant,POINT (-0.1280102 51.5302262),0,0,0,0,1,0,,
node,1983630245,Punjab's Grill,POINT (-0.3325592 51.5884375),0,0,0,0,1,0,,
node,1985559294,Bella Naples,POINT (0.0221148 51.5945276),0,0,0,0,1,0,,
node,1985559307,The Empress,POINT (0.0221263 51.5944414),0,0,0,0,1,0,,
node,1985566345,Parlay E18,POINT (0.0226489 51.5931936),0,0,0,0,1,0,,
node,1986533830,SoUK,POINT (-0.1370025 51.4620748),0,0,0,0,1,0,,
node,1988863233,Pizza Hut,POINT (-0.1578336 51.5223601),0,0,0,0,1,0,,
node,1990156852,,POINT (0.157514 51.3209191),0,0,0,1,0,0,,
node,1990694632,Vintry (Thames Exchange),POINT (-0.0926904 51.5101991),0,0,0,1,0,0,,
node,1990939954,Village Cuisine,POINT (0.0733249 51.3596796),0,0,0,0,1,0,,
node,1993188844,Nando's,POINT (-0.2809198 51.5850133),0,0,0,0,1,0,,
node,1993188846,,POINT (-0.2808039 51.5849566),0,0,0,0,1,0,,
node,1997072593,Number One Thai,POINT (-0.1926087 51.3611677),0,0,0,0,1,0,,
node,1997072598,Papaya,POINT (-0.1928642 51.3611577),0,0,0,0,1,0,,
node,2002787538,Kurumaya,POINT (-0.0941578 51.5131634),0,0,0,0,1,0,,
node,2002818970,Anglo,POINT (-0.1093857 51.5206007),0,0,0,0,1,0,,
node,2003050753,Eat Tokyo,POINT (-0.1174489 51.5198175),0,0,0,0,1,0,,
node,2018958185,India Grill,POINT (0.0526915 51.6445697),0,0,0,0,1,0,,
node,2018958211,Tuscany/Chaipan,POINT (0.0530804 51.6450973),0,0,0,0,1,0,,
node,2024044311,Obica,POINT (-0.0202573 51.502652),0,0,0,0,1,0,,
node,2026767707,Coco Di Mama,POINT (-0.0873855 51.5249307),0,0,0,0,1,0,,
node,2035021850,Pita Time,POINT (-0.1769428 51.6153817),0,0,0,0,1,0,,
node,2036576874,Fat Boys Thai Restaurant,POINT (-0.3020657 51.5158279),0,0,0,0,1,0,,
node,2036576891,Ti amo,POINT (-0.3020404 51.5159044),0,0,0,0,1,0,,
node,2043098449,Ponte Nuovo,POINT (-0.1002798 51.370596),0,0,0,0,1,0,,
node,2048713426,Sofra Hasjane,POINT (0.0053015 51.555136),0,0,0,0,1,0,,
node,2049129521,New Beijing Chinese Restaurant,POINT (-0.0275326 51.5115909),0,0,0,0,1,0,,
node,2050281857,,POINT (-0.090045 51.427381),0,0,0,1,0,0,,
node,2055183480,Palmers Restaurant,POINT (-0.0428224 51.5300832),0,0,0,0,1,0,,
node,2055993992,Sorabol,POINT (-0.25534 51.3990012),0,0,0,0,1,0,,
node,2056398295,,POINT (-0.0189389 51.5031315),0,0,0,1,0,0,,
node,2061652257,400 rabbits,POINT (-0.0574554 51.4657758),0,0,0,0,1,0,,
node,2066433718,,POINT (-0.1752698 51.6170451),0,0,0,1,0,0,,
node,2075405385,Buen Ayre,POINT (-0.0614678 51.5368592),0,0,0,0,1,0,,
node,2075405389,Franco Manca,POINT (-0.0614237 51.5369003),0,0,0,0,1,0,,
node,2075899092,The Curve,POINT (-0.0395762 51.5251846),0,0,0,0,1,0,,
node,2080592566,Checkmate Bar & Restaurant,POINT (-0.1869628 51.4945279),0,0,0,0,1,0,,
node,2088746938,Shere Khan's Chilli 'n' Spice,POINT (-0.0183708 51.5821036),0,0,0,0,1,0,,
node,2091312828,Taxim,POINT (0.02793 51.5916438),0,0,0,0,1,0,,
node,2091367234,Jaipur,POINT (0.028378 51.591574),0,0,0,0,1,0,,
node,2096457003,Antipodea,POINT (-0.2858771 51.4776073),0,0,0,0,1,0,,
node,2096457004,Ma Cuisine,POINT (-0.2858215 51.4775555),0,0,0,0,1,0,,
node,2096457005,PizzaExpress,POINT (-0.2859381 51.4776542),0,0,0,0,1,0,,
node,2096735511,Red Rose,POINT (-0.4716583 51.3379601),0,0,0,0,1,0,,
node,2100602466,,POINT (-0.0219566 51.3233695),0,0,0,1,0,0,,
node,2102211602,140 Park Lane,POINT (-0.1577998 51.512928),0,0,0,0,1,0,,
node,2103297864,Rodizio Preto,POINT (-0.1005161 51.3724531),0,0,0,0,1,0,,
node,2106381773,Miso Noodle Bar,POINT (-0.0954703 51.3741629),0,0,0,0,1,0,,
node,2108540691,Sartori,POINT (-0.1279779 51.5118036),0,0,0,0,1,0,,
node,2121664891,Newtons Restaurant & Bar,POINT (-0.1404398 51.4540141),0,0,0,0,1,0,,
node,2126893273,TOKii,POINT (-0.1599963 51.5159652),0,0,0,0,1,0,,
node,2126917122,The Pickled Hen,POINT (-0.1634759 51.5162154),0,0,0,0,1,0,,
node,2127327736,,POINT (-0.0854324 51.4202453),0,0,0,1,0,0,,
node,2129514735,Monsoon,POINT (0.0874797 51.6027393),0,0,0,0,1,0,,
node,2132609031,Nando's,POINT (-0.0307632 51.406596),0,0,0,0,1,0,,
node,2135411292,,POINT (-0.0973908 51.518448),0,0,0,1,0,0,,
node,2137178494,Hummus Bros,POINT (-0.1216168 51.5191157),0,0,0,0,1,0,,
node,2137576280,,POINT (-0.289126 51.5763716),0,0,0,1,0,0,,
node,2141155139,Del'Aziz,POINT (-0.1407878 51.4634138),0,0,0,0,1,0,,
node,2142620341,Caravan,POINT (-0.110094 51.5254684),0,0,0,0,1,0,,
node,2143278479,Anabella's Kitchen,POINT (-0.0989175 51.3678437),0,0,0,0,1,0,,
node,2146383894,,POINT (-0.1548509 51.5230685),0,0,0,1,0,0,,
node,2147835473,Dynasty,POINT (0.0214089 51.5965861),0,0,0,0,1,0,,
node,2148895426,Mr Chow,POINT (-0.1620106 51.5015655),0,0,0,0,1,0,,
node,2148897828,The Buddha Bar,POINT (-0.1617168 51.5015757),0,0,0,0,1,0,,
node,2159151388,Megan's,POINT (-0.2572437 51.4928795),0,0,0,0,1,0,,
node,2164411603,Sen Viet,POINT (-0.115924 51.5291532),0,0,0,0,1,0,,
node,2167874760,Myra Grill,POINT (-0.0188771 51.5284248),0,0,0,0,1,0,,
node,2182735712,Mumbai Delight,POINT (-0.124147 51.4822033),0,0,0,0,1,0,,
node,2186453679,Sherwood Court Car Park,POINT (-0.1633968 51.5181076),0,0,0,1,0,0,,
node,2187234113,The Colony,POINT (-0.4628117 51.371926),0,0,0,0,1,0,,
node,2187282380,Meejana (Lebanese cuisine),POINT (-0.4624036 51.370735),0,0,0,0,1,0,,
node,2187288457,,POINT (-0.1970785 51.5850753),0,0,0,1,0,0,,
node,2188396347,,POINT (-0.1554935 51.5526173),0,0,0,1,0,0,,
node,2188431681,Surrey Hypotherapy,POINT (-0.4577057 51.373086),0,0,1,0,0,0,,
node,2188486901,Acupuncture,POINT (-0.4590629 51.3725753),0,0,1,0,0,0,,
node,2188700991,Ed's Easy Diner,POINT (-0.1330899 51.5112339),0,0,0,0,1,0,,
node,2189991994,Zizzi,POINT (-0.0800317 51.509227),0,0,0,0,1,0,,
